Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Probable Pitcher,Batting Order,Roster Position
56770-38872,OF,Jesse,Jesse Winker,Winker,12.300000190734863,2,3100,CIN@ARI,CIN,ARI,DTD,Illness,,,,OF/UTIL
56770-79393,SS,Fernando,Fernando Tatis Jr.,Tatis Jr.,8.65999984741211,5,3000,SD@TEX,SD,TEX,IL,Shoulder,,,,SS/UTIL
56770-38614,SS,Carlos,Carlos Correa,Correa,9.783333460489908,6,3000,OAK@HOU,HOU,OAK,,,,,,SS/UTIL
56770-82654,SS,Bo,Bo Bichette,Bichette,9.233333587646484,6,3000,LAA@TOR,TOR,LAA,,,,,,SS/UTIL
56770-71507,1B,Yuli,Yuli Gurriel,Gurriel,12.84999974568685,6,3000,OAK@HOU,HOU,OAK,,,,,,C/1B/UTIL
56770-102308,2B/3B,Jonathan,Jonathan India,India,15.466667175292969,6,3000,CIN@ARI,CIN,ARI,,,,,,2B/3B/UTIL
56770-102370,3B/1B,Alec,Alec Bohm,Bohm,10.983333587646484,6,3000,PHI@ATL,PHI,ATL,,,,,,C/1B/3B/UTIL
56770-85277,3B/2B,Cavan,Cavan Biggio,Biggio,6.683333079020183,6,2900,LAA@TOR,TOR,LAA,,,,,,2B/3B/UTIL
56770-54049,2B,Aledmys,Aledmys Diaz,Diaz,14.533332824707031,3,2900,OAK@HOU,HOU,OAK,,,,,,2B/UTIL
56770-73023,OF,Teoscar,Teoscar Hernandez,Hernandez,5.650000254313151,6,2900,LAA@TOR,TOR,LAA,,,,,,OF/UTIL
56770-21666,OF,Mark,Mark Canha,Canha,10.099999564034599,7,2800,OAK@HOU,OAK,HOU,,,,,,OF/UTIL
56770-84133,OF,Franmil,Franmil Reyes,Reyes,7.44000015258789,5,2800,DET@CLE,CLE,DET,,,,,,OF/UTIL
56770-82620,2B/OF,Nick,Nick Solak,Solak,12.333333333333334,6,2800,SD@TEX,TEX,SD,,,,,,2B/OF/UTIL
56770-79108,OF/2B,Nick,Nick Senzel,Senzel,12.466667175292969,6,2800,CIN@ARI,CIN,ARI,,,,,,2B/OF/UTIL
56770-38218,1B,Christian,Christian Walker,Walker,6.685714176722935,7,2800,CIN@ARI,ARI,CIN,,,,,,C/1B/UTIL
56770-5456,OF,Andrew,Andrew McCutchen,McCutchen,7.033333460489909,6,2800,PHI@ATL,PHI,ATL,,,,,,OF/UTIL
56770-12123,C,Wilson,Wilson Ramos,Ramos,11.11999969482422,5,2800,DET@CLE,DET,CLE,,,,,,C/1B/UTIL
56770-68587,2B,Ozzie,Ozzie Albies,Albies,2.616666634877523,6,2800,PHI@ATL,ATL,PHI,,,,,,2B/UTIL
56770-13841,SS,Didi,Didi Gregorius,Gregorius,7.700000127156575,6,2700,PHI@ATL,PHI,ATL,,,,,,SS/UTIL
56770-13354,2B,Cesar,Cesar Hernandez,Hernandez,6.1200000762939455,5,2700,DET@CLE,CLE,DET,,,,,,2B/UTIL
56770-6197,OF,Justin,Justin Upton,Upton,9.483333587646484,6,2700,LAA@TOR,LAA,TOR,,,,,,OF/UTIL
56770-81506,OF,Jordan,Jordan Luplow,Luplow,10.40000025431315,3,2700,DET@CLE,CLE,DET,,,,,,OF/UTIL
56770-79110,C,Tyler,Tyler Stephenson,Stephenson,14.59999974568685,3,2700,CIN@ARI,CIN,ARI,,,,,,C/1B/UTIL
56770-5488,1B,Joey,Joey Votto,Votto,5.766666412353516,6,2700,CIN@ARI,CIN,ARI,,,,,,C/1B/UTIL
56770-52153,OF,David,David Dahl,Dahl,8.783333460489908,6,2700,SD@TEX,TEX,SD,,,,,,OF/UTIL
