Pitchers to use:
	Joe Ryan $11000 [Minnesota Twins] vs New York Yankees - Overall: -9.94 K% Average: 0.25 K% vs L: 0.19 K% vs R: 0.31
	Jace Peterson $2200 [Oakland Athletics] vs Griffin Canning - Overall: 1.64 HR Rating: 5.88 Value Rating: 0.74
	DJ LeMahieu $3200 [New York Yankees] vs Joe Ryan - Overall: 1.39 HR Rating: 0.32 Value Rating: 0.43
	Patrick Wisdom $4200 [Chicago Cubs] vs Blake Snell - Overall: 1.31 HR Rating: 2.03 Value Rating: 0.31
	Manny Machado $3200 [San Diego Padres] vs Justin Steele - Overall: 1.07 HR Rating: 0.07 Value Rating: 0.33
	Hunter Dozier $2400 [Kansas City Royals] vs Ryne Nelson - Overall: 0.87 HR Rating: 2.72 Value Rating: 0.36
	Evan Longoria $2900 [Arizona Diamondbacks] vs Brady Singer - Overall: 0.84 HR Rating: -0.79 Value Rating: 0.29
	Brian Anderson $3300 [Milwaukee Brewers] vs Spencer Turnbull - Overall: 0.8 HR Rating: -6.21 Value Rating: 0.24
	J.D. Davis $3100 [San Francisco Giants] vs Jake Woodford - Overall: 0.63 HR Rating: 0.78 Value Rating: 0.2
	Jake Burger $3100 [Chicago White Sox] vs Jose Berrios - Overall: 0.58 HR Rating: 0.24 Value Rating: 0.19
	Jose Miranda $2500 [Minnesota Twins] vs Nestor Cortes - Overall: 0.56 HR Rating: 1.81 Value Rating: 0.23
	Tyler Nevin $2200 [Detroit Tigers] vs Eric Lauer - Overall: 0.46 HR Rating: 0.74 Value Rating: 0.21
	Emmanuel Rivera $2000 [Arizona Diamondbacks] vs Brady Singer - Overall: 0.41 HR Rating: -2.69 Value Rating: 0.21
	Brett Baty $2400 [New York Mets] vs Josiah Gray - Overall: 0.27 HR Rating: 0.44 Value Rating: 0.11
	Nick Maton $2400 [Detroit Tigers] vs Eric Lauer - Overall: 0.2 HR Rating: 0.29 Value Rating: 0.08
	Josh Rojas $3100 [Arizona Diamondbacks] vs Brady Singer - Overall: 0.16 HR Rating: -5.72 Value Rating: 0.05
	Edwin Rios $2300 [Chicago Cubs] vs Blake Snell - Overall: 0.12 HR Rating: 0.3 Value Rating: 0.05
	Mike Brosseau $2400 [Milwaukee Brewers] vs Spencer Turnbull - Overall: 0.08 HR Rating: -0.52 Value Rating: 0.03
	Nick Madrigal $2000 [Chicago Cubs] vs Blake Snell - Overall: 0.04 HR Rating: -1.1 Value Rating: 0.02
	Jean Segura $2200 [Miami Marlins] vs Charlie Morton - Overall: -0.0 HR Rating: -3.31 Value Rating: -0.0
	Matt Duffy $2500 [Kansas City Royals] vs Ryne Nelson - Overall: -0.17 HR Rating: -0.98 Value Rating: -0.07
	Nicky Lopez $2300 [Kansas City Royals] vs Ryne Nelson - Overall: -0.87 HR Rating: -3.26 Value Rating: -0.38

Shortstops to use:
	Francisco Lindor $4000 [New York Mets] vs Josiah Gray - Overall: 3.6 HR Rating: 7.04 Value Rating: 0.9
	Bo Bichette $3600 [Toronto Blue Jays] vs Mike Clevinger - Overall: 2.81 HR Rating: -0.7 Value Rating: 0.78
	CJ Abrams $2700 [Washington Nationals] vs Jose Butto - Overall: 2.58 HR Rating: 6.2 Value Rating: 0.96
	Willy Adames $3300 [Milwaukee Brewers] vs Spencer Turnbull - Overall: 2.35 HR Rating: -3.26 Value Rating: 0.71
	Aledmys Diaz $2400 [Oakland Athletics] vs Griffin Canning - Overall: 2.29 HR Rating: 5.88 Value Rating: 0.96
	Vaughn Grissom $2400 [Atlanta Braves] vs Bryan Hoeing - Overall: 2.08 HR Rating: 2.68 Value Rating: 0.87
	Ehire Adrianza $2000 [Atlanta Braves] vs Bryan Hoeing - Overall: 1.47 HR Rating: 1.41 Value Rating: 0.73
	Javier Baez $2500 [Detroit Tigers] vs Eric Lauer - Overall: 1.22 HR Rating: 1.51 Value Rating: 0.49
	Paul DeJong $2500 [St. Louis Cardinals] vs John Brebbia - Overall: 1.11 HR Rating: 3.57 Value Rating: 0.44
	Carlos Correa $2900 [Minnesota Twins] vs Nestor Cortes - Overall: 0.63 HR Rating: 1.24 Value Rating: 0.22
	Brandon Crawford $2700 [San Francisco Giants] vs Jake Woodford - Overall: 0.51 HR Rating: -0.24 Value Rating: 0.19
	Bobby Witt Jr. $3300 [Kansas City Royals] vs Ryne Nelson - Overall: 0.29 HR Rating: 3.82 Value Rating: 0.09
	Geraldo Perdomo $3200 [Arizona Diamondbacks] vs Brady Singer - Overall: 0.04 HR Rating: -5.71 Value Rating: 0.01
	Anthony Volpe $2900 [New York Yankees] vs Joe Ryan - Overall: 0.0 HR Rating: 0.0 Value Rating: 0.0
	Dansby Swanson $3200 [Chicago Cubs] vs Blake Snell - Overall: -0.05 HR Rating: 0.07 Value Rating: -0.02
	Xander Bogaerts $3600 [San Diego Padres] vs Justin Steele - Overall: -0.06 HR Rating: -0.92 Value Rating: -0.02
	Kevin Smith $2100 [Oakland Athletics] vs Griffin Canning - Overall: -0.11 HR Rating: 1.94 Value Rating: -0.05
	Nick Ahmed $2600 [Arizona Diamondbacks] vs Brady Singer - Overall: -0.17 HR Rating: -0.41 Value Rating: -0.06
	Jon Berti $2700 [Miami Marlins] vs Charlie Morton - Overall: -0.28 HR Rating: -4.36 Value Rating: -0.1
	Tommy Edman $3200 [St. Louis Cardinals] vs John Brebbia - Overall: -0.43 HR Rating: 2.36 Value Rating: -0.14

OutFielders to use:
	Ronald Acuna Jr. $4600 [Atlanta Braves] vs Bryan Hoeing - Overall: 10.92 HR Rating: 13.91 Value Rating: 2.37
	Marcell Ozuna $2500 [Atlanta Braves] vs Bryan Hoeing - Overall: 9.31 HR Rating: 12.74 Value Rating: 3.73
	Eddie Rosario $2200 [Atlanta Braves] vs Bryan Hoeing - Overall: 5.82 HR Rating: 7.79 Value Rating: 2.64
	Aaron Judge $4100 [New York Yankees] vs Joe Ryan - Overall: 5.77 HR Rating: 13.13 Value Rating: 1.41
	Lane Thomas $2800 [Washington Nationals] vs Jose Butto - Overall: 4.61 HR Rating: 14.35 Value Rating: 1.65
	Brandon Nimmo $3500 [New York Mets] vs Josiah Gray - Overall: 3.91 HR Rating: 4.1 Value Rating: 1.12
	Victor Robles $2300 [Washington Nationals] vs Jose Butto - Overall: 3.83 HR Rating: 9.86 Value Rating: 1.67
	Tommy Pham $2700 [New York Mets] vs Josiah Gray - Overall: 3.73 HR Rating: 3.89 Value Rating: 1.38
	George Springer $3100 [Toronto Blue Jays] vs Mike Clevinger - Overall: 3.25 HR Rating: 3.41 Value Rating: 1.05
	Daulton Varsho $2900 [Toronto Blue Jays] vs Mike Clevinger - Overall: 2.76 HR Rating: 7.2 Value Rating: 0.95
	Starling Marte $3000 [New York Mets] vs Josiah Gray - Overall: 2.61 HR Rating: 1.99 Value Rating: 0.87
	Mike Yastrzemski $3000 [San Francisco Giants] vs Jake Woodford - Overall: 2.38 HR Rating: 4.19 Value Rating: 0.79
	Michael Conforto $3200 [San Francisco Giants] vs Jake Woodford - Overall: 2.28 HR Rating: 3.2 Value Rating: 0.71
	Sam Hilliard $2800 [Atlanta Braves] vs Bryan Hoeing - Overall: 2.19 HR Rating: 1.51 Value Rating: 0.78
	Christian Yelich $3200 [Milwaukee Brewers] vs Spencer Turnbull - Overall: 2.14 HR Rating: -8.6 Value Rating: 0.67
	Mark Canha $2800 [New York Mets] vs Josiah Gray - Overall: 2.14 HR Rating: 3.19 Value Rating: 0.76
	Tyler O'Neill $2600 [St. Louis Cardinals] vs John Brebbia - Overall: 1.78 HR Rating: 5.69 Value Rating: 0.69
	Andrew Benintendi $2800 [Chicago White Sox] vs Jose Berrios - Overall: 1.5 HR Rating: 1.17 Value Rating: 0.54
	Dylan Carlson $2500 [St. Louis Cardinals] vs John Brebbia - Overall: 1.48 HR Rating: 5.01 Value Rating: 0.59
	Franmil Reyes $2500 [Kansas City Royals] vs Ryne Nelson - Overall: 1.39 HR Rating: 3.46 Value Rating: 0.56
	Alek Thomas $2600 [Arizona Diamondbacks] vs Brady Singer - Overall: 1.36 HR Rating: -1.36 Value Rating: 0.52
	Fernando Tatis Jr. $4300 [San Diego Padres] vs Justin Steele - Overall: 1.35 HR Rating: 0.73 Value Rating: 0.31
	Whit Merrifield $2800 [Toronto Blue Jays] vs Mike Clevinger - Overall: 1.25 HR Rating: -3.86 Value Rating: 0.45
	Lars Nootbaar $3600 [St. Louis Cardinals] vs John Brebbia - Overall: 1.24 HR Rating: 5.83 Value Rating: 0.34
	Jesus Sanchez $2200 [Miami Marlins] vs Charlie Morton - Overall: 1.18 HR Rating: 0.85 Value Rating: 0.54
	Alex Call $2800 [Washington Nationals] vs Jose Butto - Overall: 1.04 HR Rating: 3.63 Value Rating: 0.37
	Jorge Soler $3100 [Miami Marlins] vs Charlie Morton - Overall: 1.01 HR Rating: 0.31 Value Rating: 0.32
	Bryan De La Cruz $2700 [Miami Marlins] vs Charlie Morton - Overall: 0.94 HR Rating: -0.45 Value Rating: 0.35
	Lourdes Gurriel Jr. $2800 [Arizona Diamondbacks] vs Brady Singer - Overall: 0.89 HR Rating: -5.07 Value Rating: 0.32
	Kevin Kiermaier $2500 [Toronto Blue Jays] vs Mike Clevinger - Overall: 0.83 HR Rating: -0.43 Value Rating: 0.33
	Corbin Carroll $3200 [Arizona Diamondbacks] vs Brady Singer - Overall: 0.8 HR Rating: 0.75 Value Rating: 0.25
	Juan Soto $3100 [San Diego Padres] vs Justin Steele - Overall: 0.8 HR Rating: -1.35 Value Rating: 0.26
	Luis Robert Jr. $3400 [Chicago White Sox] vs Jose Berrios - Overall: 0.8 HR Rating: -2.46 Value Rating: 0.23
	Jazz Chisholm Jr. $3000 [Miami Marlins] vs Charlie Morton - Overall: 0.79 HR Rating: 1.41 Value Rating: 0.26
	Seiya Suzuki $3100 [Chicago Cubs] vs Blake Snell - Overall: 0.71 HR Rating: 0.27 Value Rating: 0.23
	Franchy Cordero $2800 [New York Yankees] vs Joe Ryan - Overall: 0.69 HR Rating: 2.13 Value Rating: 0.25
	Stone Garrett $3000 [Washington Nationals] vs Jose Butto - Overall: 0.69 HR Rating: 1.76 Value Rating: 0.23
	Byron Buxton $3000 [Minnesota Twins] vs Nestor Cortes - Overall: 0.62 HR Rating: 1.79 Value Rating: 0.21
	Mitch Haniger $2900 [San Francisco Giants] vs Jake Woodford - Overall: 0.62 HR Rating: 1.73 Value Rating: 0.21
	Tyler Wade $2000 [Oakland Athletics] vs Griffin Canning - Overall: 0.59 HR Rating: 2.19 Value Rating: 0.3
	Aaron Hicks $2100 [New York Yankees] vs Joe Ryan - Overall: 0.58 HR Rating: 2.38 Value Rating: 0.28
	Avisail Garcia $2300 [Miami Marlins] vs Charlie Morton - Overall: 0.57 HR Rating: -2.2 Value Rating: 0.25
	Michael A. Taylor $2500 [Minnesota Twins] vs Nestor Cortes - Overall: 0.54 HR Rating: 0.54 Value Rating: 0.22
	Nelson Velazquez $2000 [Chicago Cubs] vs Blake Snell - Overall: 0.44 HR Rating: 0.77 Value Rating: 0.22
	Willie Calhoun $2300 [New York Yankees] vs Joe Ryan - Overall: 0.41 HR Rating: 0.5 Value Rating: 0.18
	Conner Capel $2100 [Oakland Athletics] vs Griffin Canning - Overall: 0.39 HR Rating: 0.74 Value Rating: 0.18
	Jackie Bradley Jr. $2100 [Kansas City Royals] vs Ryne Nelson - Overall: 0.37 HR Rating: 0.55 Value Rating: 0.18
	Kevin Pillar $2200 [Atlanta Braves] vs Bryan Hoeing - Overall: 0.28 HR Rating: 0.19 Value Rating: 0.13
	Matt Vierling $2300 [Detroit Tigers] vs Eric Lauer - Overall: 0.28 HR Rating: -0.35 Value Rating: 0.12
	Alec Burleson $2700 [St. Louis Cardinals] vs John Brebbia - Overall: 0.26 HR Rating: 0.64 Value Rating: 0.1
	Trent Grisham $3100 [San Diego Padres] vs Justin Steele - Overall: 0.23 HR Rating: -0.6 Value Rating: 0.07
	Oswaldo Cabrera $2500 [New York Yankees] vs Joe Ryan - Overall: 0.22 HR Rating: 1.66 Value Rating: 0.09
	Brent Rooker $3100 [Oakland Athletics] vs Griffin Canning - Overall: 0.21 HR Rating: 0.3 Value Rating: 0.07
	Rougned Odor $2200 [San Diego Padres] vs Justin Steele - Overall: 0.16 HR Rating: -0.43 Value Rating: 0.07
	Willi Castro $2000 [Minnesota Twins] vs Nestor Cortes - Overall: 0.13 HR Rating: 0.04 Value Rating: 0.07
	MJ Melendez $2700 [Kansas City Royals] vs Ryne Nelson - Overall: 0.11 HR Rating: 3.77 Value Rating: 0.04
